,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.2,2,2500,1,2500-0,15.047812868012821,281008.7510764226,0,Bernoulli,6715.221442955701,SNIPE(1),22.706557628989,7.6587447609761785,58.65637131378006,0.5089606594760621
1,0.2,2,5000,1,5000-0,14.950596884751862,145257.31248348297,0,Bernoulli,2022.093657333777,SNIPE(1),17.090794082791486,2.1401971980396244,4.580444046496659,0.1431512878407159
2,0.2,2,10000,1,10000-0,14.932393786902063,73671.20867921677,0,Bernoulli,1200.7035873109087,SNIPE(1),14.403853972873867,-0.5285398140281963,0.2793543350129603,-0.03539551806434441
3,0.2,2,12500,1,12500-0,14.947953102241517,78377.64725141026,0,Bernoulli,952.1060902723984,SNIPE(1),15.725745640929603,0.777792538688086,0.6049612332388576,0.052033380983209816
4,0.2,2,15000,1,15000-0,15.002180631440721,81468.27259830401,0,Bernoulli,1023.1277768403606,SNIPE(1),16.543254775836377,1.5410741443956564,2.374909518524804,0.10272334284297047
