,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.2,0.01,10000,1,10000-0,5.09363972773705,3097.7767934854905,0,Bernoulli,724.6259389696587,SNIPE(1),4.537098656496991,-0.5565410712400585,0.30973796397703185,-0.10926196217008714
1,0.2,0.1,10000,1,10000-0,5.534259044367787,4108.604628051874,0,Bernoulli,783.1230479113109,SNIPE(1),6.389728332730031,0.8554692883622437,0.7318277033310037,0.15457702313968377
2,0.2,0.25,10000,1,10000-0,6.196926468800048,5191.083669323335,0,Bernoulli,574.3492626228654,SNIPE(1),6.549848447767396,0.35292197896734834,0.12455392323822946,0.05695113226600653
3,0.2,0.5,10000,1,10000-0,7.524232858126326,12922.866133305834,0,Bernoulli,1218.6235737666354,SNIPE(1),7.799598601607617,0.2753657434812906,0.07582629268300395,0.03659718521123252
4,0.2,0.75,10000,1,10000-0,8.722228592730023,18747.148693500054,0,Bernoulli,933.4229896985553,SNIPE(1),7.9448402795865265,-0.7773883131434962,0.6043325894120906,-0.08912725742953462
5,0.2,1.0,10000,1,10000-0,10.002294935545919,24893.977056845033,0,Bernoulli,641.1621754492879,SNIPE(1),11.191951191903073,1.1896562563571536,1.4152820082897175,0.11893833005557368
6,0.2,1.3333333333333333,10000,1,10000-0,11.64244381112692,40011.507796483194,0,Bernoulli,844.2247084169625,SNIPE(1),11.096717599218843,-0.545726211908077,0.29781709836353937,-0.04687385404312756
7,0.2,2.0,10000,1,10000-0,14.925024412018018,76194.76349222173,0,Bernoulli,1102.1550831376426,SNIPE(1),12.31926961080959,-2.6057548012084286,6.789958084020777,-0.1745896508624942
8,0.2,3.0,10000,1,10000-0,20.168455136005544,168569.43549779692,0,Bernoulli,1614.5041753978867,SNIPE(1),23.132914005444125,2.9644588694385803,8.788016388593066,0.14698492519371542
9,0.2,4.0,10000,1,10000-0,25.04161709470228,303247.51317767997,0,Bernoulli,1835.7943644966126,SNIPE(1),26.887827414987882,1.8462103202856035,3.4084925467290708,0.07372568286239715
